Produkt,Fondskode/ISIN,Antal,Lukkekurs,Lokal værdi,,Værdi i DKK
CASH & CASH FUND & FTX CASH (DKK),,,,DKK,"11208,04","11208,04"
AMAZON.COM INC,US0231351067,60,"234,11",USD,"14046,60","92237,24"
AP MOELLER - MAERSK A/S CLASS B,DK0010244508,2,"2154,00",EUR,"4308,00","32197,31"
AVIVA PLC,GB00BPQY8M80,921,"643,60",GBX,"592755,60","51394,30"
CAMECO CORP,CA13321L1085,250,"108,89",USD,"27222,50","178757,01"
EQUINOR ASA,NO0010096985,370,"318,80",NOK,"117956,00","79078,13"
GDR ON SAMSUNG ELECTRONICS CO LTD,US7960508882,3,"5075,00",USD,"15225,00","99975,22"
MICROSOFT CORP,US5949181045,32,"373,94",USD,"11966,08","78575,47"
NOVO NORDISK A/S CLASS B,DK0062498333,586,"307,75",DKK,"180341,50","180341,50"
NVIDIA CORP,US67066G1040,60,"200,04",USD,"12002,40","78813,97"
OERSTED A/S,DK0060094928,91,"149,55",DKK,"13609,05","13609,05"
POLARCUS LTD,KYG7153K1085,2000,"0,09",NOK,"172,20","115,44"
QUALCOMM INC,US7475251036,24,"204,13",USD,"4899,12","32170,16"
